,pointsAway,stopLoss,trailingStop,breakevenTrigger,breakevenDistance,maxSlippage,iip_est,fd_est,pnc_est,gainRate,score,prob
34112,14.404615291833972,2.0,16.117033215445485,4.999999999999999,1.0466351393921056,50.0,True,1153.8779841686091,5.0166666666666675,0.1538779841686091,0.34465462513338885,4.4872586383344414e-05
174794,22.098515072418095,6.005622169907157,2.5730812247419697,3.1622776601683795,1.0466351393921056,50.0,True,1006.22751513209,1.4371428571428573,0.006227515132090078,0.007465600768929964,1.8160148914616653e-06
149174,3.7528892431840113,6.005622169907157,10.466351393921057,7.90569415042095,1.0466351393921056,50.0,True,1152.9873261002886,7.0,0.15298732610028853,0.40476641860610446,4.4612860267716694e-05
102110,3.3209511122689697,4.162766037009366,4.916863819872198,3.1622776601683795,1.0466351393921056,50.0,True,1096.8340222742127,7.0,0.09683402227421256,0.25619874138765564,2.823791234869006e-05
69872,7.816014174244984,2.8853998118144273,7.571431009542516,12.500000000000002,1.0466351393921056,50.0,True,1118.6354841172717,4.794705882352941,0.11863548411727165,0.259773946782433,3.4595468857644024e-05
11172,3.123998738481456,2.0,4.413831326079756,3.1622776601683795,0.0,50.0,True,1225.2969907873173,7.0,0.22529699078731724,0.5960798087544517,6.569918845527612e-05
40407,22.098515072418095,2.0,16.117033215445485,3.1622776601683795,2.1908902300206647,50.0,True,1148.7719221736597,1.3351190476190475,0.14877192217365964,0.1719020160888857,4.3383600098626615e-05
11980,3.3209511122689697,2.0,3.192996118263379,7.90569415042095,4.5861254025809615,50.0,True,1220.8943593406593,7.0,0.22089435934065937,0.5844315408323224,6.441533059236238e-05
111344,6.120385929295427,4.162766037009366,9.395564193894643,12.500000000000002,1.0466351393921056,50.0,True,1023.2024870854636,4.567086834733893,0.023202487085463686,0.04958544031763979,6.7661115505001315e-06
11337,3.123998738481456,2.0,6.796816140830003,12.500000000000002,2.1908902300206647,50.0,True,1195.1674122315594,7.0,0.19516741223155942,0.5163644367887318,5.691305752341011e-05
147504,3.3209511122689697,6.005622169907157,16.117033215445485,3.1622776601683795,0.0,50.0,True,1134.8666080882354,6.08,0.13486660808823525,0.3325494429728186,3.932865090718127e-05
57993,3.5303203404753782,2.8853998118144273,4.413831326079756,12.500000000000002,2.1908902300206647,50.0,True,1216.7773096674568,7.0,0.21677730966745679,0.5735388512617285,6.321475165247405e-05
12370,3.3209511122689697,2.0,10.466351393921057,4.999999999999999,4.5861254025809615,50.0,True,1351.391081962482,7.1656818181818185,0.35139108196248214,0.9406314499373016,0.00010246967274032533
24693,7.816014174244984,2.0,4.413831326079756,12.500000000000002,2.1908902300206647,50.0,True,1057.7990614177488,3.9507936507936505,0.05779906141774882,0.11488490241219308,1.6854869722638677e-05
13830,3.7528892431840113,2.0,3.9622628750351208,2.0,0.0,50.0,True,1225.2969907873173,7.0,0.22529699078731724,0.5960798087544517,6.569918845527612e-05
171752,17.304400643645934,6.005622169907157,12.987937983388651,12.500000000000002,1.0466351393921056,50.0,True,1052.0166142776343,3.9742857142857146,0.052016614277634377,0.10369829688397975,1.5168641766093609e-05
103416,3.5303203404753782,4.162766037009366,16.117033215445485,7.90569415042095,0.0,50.0,True,1134.1172080882352,6.279999999999999,0.13411720808823513,0.336096760135835,3.911011726562513e-05
124041,14.404615291833972,4.162766037009366,12.987937983388651,4.999999999999999,2.1908902300206647,50.0,True,1046.709344852941,5.147222222222223,0.04670934485294098,0.10597178145597505,1.362098108541893e-05
130226,22.098515072418095,4.162766037009366,9.395564193894643,3.1622776601683795,1.0466351393921056,50.0,True,1058.1909324314574,1.9571428571428569,0.05819093243145734,0.08140790524637671,1.696914380810172e-05
13399,3.5303203404753782,2.0,16.117033215445485,2.0,0.5,50.0,True,1308.9270592338219,6.08,0.3089270592338218,0.761741715934799,9.008667631383052e-05
19468,5.415961181461491,2.0,7.571431009542516,7.90569415042095,4.5861254025809615,50.0,True,1020.3112028305028,3.464285714285714,0.020311202830502806,0.037804412611359195,5.922979875813154e-06
56042,3.123998738481456,2.8853998118144273,2.8663283766131005,7.90569415042095,1.0466351393921056,50.0,True,1194.6344458874455,7.0,0.1946344458874456,0.5149543403850394,5.675763842011943e-05
260797,16.278145613529666,12.500000000000002,11.659173333328571,3.1622776601683795,0.5,50.0,True,1025.5704905982907,2.0,0.02557049059829075,0.0361621346006365,7.456648554604401e-06
79158,14.404615291833972,2.8853998118144273,17.953848175500134,12.500000000000002,0.0,50.0,True,1123.5837371336997,3.238095238095238,0.12358373713369963,0.22238532900686606,3.603843623290553e-05
18241,5.094762110782888,2.0,2.8663283766131005,7.90569415042095,0.5,50.0,True,1021.5705059662557,4.0,0.02157050596625565,0.0431410119325113,6.2902071243841256e-06
11332,3.123998738481456,2.0,6.796816140830003,7.90569415042095,4.5861254025809615,50.0,True,1195.3280043345544,7.0,0.19532800433455444,0.5167893235557774,5.695988802390738e-05
57656,3.5303203404753782,2.8853998118144273,1.670950968658522,4.999999999999999,1.0466351393921056,50.0,True,1200.61491017316,7.0,0.20061491017316002,0.5307771616097432,5.850161044914716e-05
23768,7.352477526720337,2.0,4.413831326079756,2.0,1.0466351393921056,50.0,True,1057.730223317532,3.9666666666666663,0.05773022331753186,0.11497835498196457,1.6834795742496942e-05
82536,18.39535588052063,2.8853998118144273,9.395564193894643,7.90569415042095,0.0,50.0,True,1151.4740567390943,4.52537518037518,0.1514740567390942,0.3222296889237788,4.4171573552801994e-05
12815,3.5303203404753782,2.0,2.5730812247419697,12.500000000000002,9.6,50.0,True,1199.1224037212785,7.0,0.19912240372127843,0.5268283607079052,5.806637843690315e-05
235813,3.123998738481456,12.500000000000002,1.5,3.1622776601683795,0.5,50.0,True,1030.5682547619047,7.0,0.030568254761904612,0.08087600011326554,8.914053948670483e-06
22887,6.9164313901912315,2.0,4.413831326079756,7.90569415042095,2.1908902300206647,50.0,True,1062.8205602240896,4.329444444444444,0.06282056022408966,0.13071273162946556,1.8319196410948366e-05
55815,3.123998738481456,2.8853998118144273,1.5,3.1622776601683795,2.1908902300206647,50.0,True,1204.2530829004327,7.0,0.20425308290043276,0.5404028618728045,5.956254337508925e-05
148038,3.5303203404753782,6.005622169907157,5.477225575051661,2.0,0.0,50.0,True,1094.9228619560993,7.0,0.09492286195609934,0.25114228647035297,2.7680596063775726e-05
38479,19.555090346065175,2.0,10.466351393921057,12.500000000000002,0.5,50.0,True,1091.9278244047619,2.0,0.09192782440476188,0.13000557603266666,2.680720873699291e-05
82632,18.39535588052063,2.8853998118144273,12.987937983388651,3.1622776601683795,0.0,50.0,True,1102.6892118347337,2.0,0.10268921183473356,0.14522447608608396,2.994535282995764e-05
56661,3.123998738481456,2.8853998118144273,17.953848175500134,12.500000000000002,2.1908902300206647,50.0,True,1300.4239793866263,6.1119047619047615,0.30042397938662635,0.7427161774309399,8.760708063268571e-05
13416,3.5303203404753782,2.0,16.117033215445485,7.90569415042095,0.0,50.0,True,1306.5240295329672,6.279999999999999,0.3065240295329672,0.7681470163175014,8.938592527126951e-05
83588,19.555090346065175,2.8853998118144273,14.468138369480062,12.500000000000002,1.0466351393921056,50.0,True,1131.4507282051284,2.1058333333333334,0.13145072820512826,0.19075458884973787,3.833254112605823e-05
12057,3.3209511122689697,2.0,3.9622628750351208,12.500000000000002,2.1908902300206647,50.0,True,1216.7773096674568,7.0,0.21677730966745679,0.5735388512617285,6.321475165247405e-05
79912,15.312753678791726,2.8853998118144273,11.659173333328571,7.90569415042095,4.5861254025809615,50.0,True,1105.5722121954843,3.6515079365079366,0.1055722121954843,0.20173708744282476,3.078606882601103e-05
220326,22.098515072418095,8.664310539439331,12.987937983388651,2.0,0.0,50.0,True,1024.292971962841,1.0625,0.02429297196284086,0.025040622340740313,7.084109457245652e-06
57680,3.5303203404753782,2.8853998118144273,1.8613847597739017,2.0,1.0466351393921056,50.0,True,1210.9115829004327,7.0,0.21091158290043266,0.5580195969775278,6.15042384008449e-05
160585,8.308774470916129,6.005622169907157,4.413831326079756,7.90569415042095,0.5,50.0,True,1032.3487695970698,4.165873015873016,0.03234876959706989,0.06602536040505663,9.433272511218296e-06
24818,7.816014174244984,2.0,6.796816140830003,3.1622776601683795,1.0466351393921056,50.0,True,1085.9213765642853,2.773095238095238,0.08592137656428522,0.14308154428824904,2.5055659605159246e-05
57484,3.3209511122689697,2.8853998118144273,14.468138369480062,7.90569415042095,4.5861254025809615,50.0,True,1317.9213597097348,6.548571428571428,0.3179213597097348,0.8135663767451862,9.270951756850232e-05
58585,3.7528892431840113,2.8853998118144273,1.8613847597739017,3.1622776601683795,0.5,50.0,True,1215.0359878347142,7.0,0.21503598783471412,0.5689317467397642,6.270696221928696e-05
57332,3.3209511122689697,2.8853998118144273,9.395564193894643,4.999999999999999,1.0466351393921056,50.0,True,1349.2171615079365,7.1656818181818185,0.34921716150793647,0.9348121276659812,0.00010183573258368648
221388,23.49171505905048,8.664310539439331,20.000000000000004,7.90569415042095,0.0,50.0,True,1030.1211726495726,1.077777777777778,0.030121172649572703,0.03127061969559367,8.783679673140076e-06
101862,3.3209511122689697,4.162766037009366,2.309835482612364,4.999999999999999,0.0,50.0,True,1081.1713995670996,7.0,0.08117139956709951,0.21475933682560128,2.367051179290583e-05
59372,3.7528892431840113,2.8853998118144273,20.000000000000004,2.0,1.0466351393921056,50.0,True,1309.973392032967,6.0285714285714285,0.30997339203296703,0.7610822988188288,9.039179896778943e-05
192002,3.3209511122689697,8.664310539439331,3.556893304490063,3.1622776601683795,1.0466351393921056,50.0,True,1040.757000763126,7.0,0.04075700076312594,0.10783288820410097,1.1885209228276921e-05
68641,7.352477526720337,2.8853998118144273,2.8663283766131005,7.90569415042095,0.5,50.0,True,1071.9914426416722,4.14920634920635,0.07199144264167212,0.14664369443918293,2.0993530986605054e-05
13931,3.7528892431840113,2.0,4.916863819872198,12.500000000000002,9.6,50.0,True,1217.5237708180712,7.0,0.21752377081807106,0.5755138018296251,6.343242829181737e-05
56002,3.123998738481456,2.8853998118144273,2.5730812247419697,4.999999999999999,4.5861254025809615,50.0,True,1197.630315301365,7.0,0.197630315301365,0.5228806658146948,5.7631268327579195e-05
59072,3.7528892431840113,2.8853998118144273,7.571431009542516,12.500000000000002,1.0466351393921056,50.0,True,1195.1674122315594,7.0,0.19516741223155942,0.5163644367887318,5.691305752341011e-05
63890,5.094762110782888,2.8853998118144273,20.000000000000004,7.90569415042095,1.0466351393921056,50.0,True,1030.7972002331003,6.460714285714286,0.030797200233100286,0.07828012391030573,8.980817075889816e-06
56083,3.123998738481456,2.8853998118144273,3.192996118263379,12.500000000000002,0.5,50.0,True,1220.3994243697477,7.0,0.2203994243697478,0.5831220659841413,6.427100187401868e-05
12079,3.3209511122689697,2.0,4.413831326079756,4.999999999999999,0.5,50.0,True,1216.4486762019028,7.0,0.2164486762019029,0.5726693688393797,6.311891836188865e-05
14327,3.7528892431840113,2.0,16.117033215445485,12.500000000000002,9.6,50.0,True,1315.408568958819,6.1119047619047615,0.31540856895881886,0.7797614795741075,9.197675894391444e-05
25803,8.308774470916129,2.0,8.434326653017491,7.90569415042095,2.1908902300206647,50.0,True,1112.1261336728633,6.0,0.11212613367286317,0.27465181432961383,3.269726755422607e-05
24102,7.352477526720337,2.0,11.659173333328571,4.999999999999999,0.0,50.0,True,1086.4211983193277,3.2677350427350427,0.08642119831932771,0.15622254252784185,2.5201413365845657e-05
11470,3.123998738481456,2.0,10.466351393921057,4.999999999999999,4.5861254025809615,50.0,True,1351.391081962482,7.1656818181818185,0.35139108196248214,0.9406314499373016,0.00010246967274032533
103641,3.7528892431840113,4.162766037009366,2.0735217782602744,12.500000000000002,2.1908902300206647,50.0,True,1086.4975580277564,7.0,0.0864975580277565,0.22885102755582226,2.5223680733274406e-05
58443,3.5303203404753782,2.8853998118144273,17.953848175500134,3.1622776601683795,2.1908902300206647,50.0,True,1309.973392032967,6.181904761904762,0.30997339203296703,0.7707003759480795,9.039179896778943e-05
25221,8.308774470916129,2.0,1.5,4.999999999999999,2.1908902300206647,50.0,True,1105.4018927832403,5.0,0.1054018927832403,0.23568579722046984,3.073640173048745e-05
58425,3.5303203404753782,2.8853998118144273,16.117033215445485,12.500000000000002,2.1908902300206647,50.0,True,1300.4239793866263,6.1119047619047615,0.30042397938662635,0.7427161774309399,8.760708063268571e-05
70694,8.308774470916129,2.8853998118144273,6.101450253462534,7.90569415042095,1.0466351393921056,50.0,True,1067.4771149859944,5.826666666666666,0.06747711498599429,0.16287956194546785,1.9677101227100522e-05
